Root,Expertise,MappedExpertise,Actors,
 ,AI Approaches and Technologies,AI,Jean Oh,
 ,AI Approaches and Technologies,Computer vision technologies,Jean Oh,
 ,Research Methods,Human-AI Interaction,Jean Oh,
 ,Analytics,Learning analytics,Jeremy Jarzembak,
 ,Learning Environments and Platforms,Virtual and remote laboratories / field trips,Jeremy Jarzembak,
 ,Learning Environments and Platforms,Wearable / physiological technology,Lining Yao,
 ,Research Methods,Design Research,Lining Yao,
 ,Equity and Social Justice,Inclusive/universal design,Lining Yao,
 ,Research Methods,HCI,Lining Yao,
 ,AI Approaches and Technologies,Pedagogical agents,Keenan Crane,
 ,Pedagogical Approaches and Processes,Inquiry learning (e.g. project/problem based learning),Jeffrey Ogle,
 ,Capacity Building,Educator professional learning,Jeffrey Ogle,
 ,Equity and Social Justice,Cultural competence/responsiveness,Jeffrey Ogle,
 ,Other Domains,Philosophy,Jeffrey Ogle,
 ,Other Domains,Anthropology,Jeffrey Ogle,
 ,Equity and Social Justice,Ethics,Jeffrey Ogle,
 ,Capacity Building,Instructional Design,Meltem Alemdar,
 ,Capacity Building,Educator professional learning,Meltem Alemdar,
 ,Disciplinary Areas,Science education,Meltem Alemdar,
 ,Disciplinary Areas,Math education,Meltem Alemdar,
 ,Disciplinary Areas,Engineering education,Meltem Alemdar,
 ,AI Approaches and Technologies,Machine learning,Jivko Sinapov,
 ,AI Approaches and Technologies,Robots,Jivko Sinapov,
 ,Research Methods,Human-AI Interaction,Jivko Sinapov,
 ,Learning Processes and Theories,Multimodal communication,Jivko Sinapov,
 ,Pedagogical Approaches and Processes,Inquiry learning (e.g. project/problem based learning),Ann Eisenberg,
 ,Equity and Social Justice,Social welfare development and responsibility,Kenneth Holstein,
 ,AI Approaches and Technologies,Machine learning,Kenneth Holstein,
 ,Equity and Social Justice,Cultural competence/responsiveness,Kenneth Holstein,
 ,AI Approaches and Technologies,AI,Kenneth Holstein,
 ,Research Methods,Design Research,Kenneth Holstein,
 ,Research Methods,Human-AI Interaction,Kenneth Holstein,
 ,Learning Processes and Theories,Creativity,Chris Rogers,
 ,Research Methods,HCI,Francis Quek,
 ,AI Approaches and Technologies,Computer vision technologies,Francis Quek,
 ,Analytics,Data visualization representations and dashboards,Francis Quek,
 ,Equity and Social Justice,Accessibility and technology,Lawrence Angrave,
 ,Capacity Building,Instructional Design,Lawrence Angrave,
 ,Equity and Social Justice,Cultural competence/responsiveness,Michael Zang,
 ,Analytics,Learning analytics,Kilchan Choi,
 ,AI Approaches and Technologies,Machine learning,Kilchan Choi,
 ,Capacity Building,Evaluation,Kilchan Choi,
 ,AI Approaches and Technologies,Modeling and simulation (including agent-based modeling),Kilchan Choi,
 ,AI Approaches and Technologies,Machine learning,Anirban Roy,
 ,AI Approaches and Technologies,Computer vision technologies,Anirban Roy,
 ,Disciplinary Areas,Science education,Jennifer Chiu,
 ,Capacity Building,Instructional Design,Jennifer Chiu,
 ,Capacity Building,Educator professional learning,Jennifer Chiu,
 ,Learning Environments and Platforms,Wearable / physiological technology,Bradford Campbell,
 ,Learning Environments and Platforms,Smart & connected communities for learning,Bradford Campbell,
 ,Learning Environments and Platforms,Informal settings,Panagiotis Apostolellis,
 ,Disciplinary Areas,Computer science education,Panagiotis Apostolellis,
 ,Research Methods,HCI,Panagiotis Apostolellis,
 ,Disciplinary Areas,Computational thinking,Panagiotis Apostolellis,
 ,Research Methods,Design Research,Panagiotis Apostolellis,
 ,Learning Environments and Platforms,Interactive Displays,Panagiotis Apostolellis,
 ,Equity and Social Justice,Cultural competence/responsiveness,Andrea Hillsamer,
 ,Equity and Social Justice,Broadening participation of historically marginalized groups,Alison Bailey,
 ,Capacity Building,Educator professional learning,Alison Bailey,
 ,Learning Processes and Theories,Cognitive psychology / Cognitive science,Alison Bailey,
 ,Other Domains,Spoken language,Alison Bailey,
 ,Equity and Social Justice,Critical theory and identity,Alison Bailey,
 ,Disciplinary Areas,ELA education,Alison Bailey,
 ,Research Methods,Qualitative methods,Alison Bailey,
 ,Analytics,Learning analytics,Richard Correnti,
 ,Capacity Building,Policy,Richard Correnti,
 ,Disciplinary Areas,Math education,Richard Correnti,
 ,Capacity Building,Educator professional learning,Richard Correnti,
 ,Capacity Building,Research partnerships,Richard Correnti,
 ,Research Methods,Design Research,Richard Correnti,
 ,AI Approaches and Technologies,Adaptive/Personalized learning and intelligent tutors,Richard Correnti,
 ,AI Approaches and Technologies,Machine learning,Lindsay Clare Matsumura,
 ,"Instruments, Assessment, and Measures",Cyber-enhanced/Computer-assisted assessments,Lindsay Clare Matsumura,
 ,Research Methods,Qualitative methods,Lindsay Clare Matsumura,
 ,Learning Environments and Platforms,Formal classroom settings,Lindsay Clare Matsumura,
 ,Capacity Building,Educator professional learning,Lindsay Clare Matsumura,
 ,Equity and Social Justice,Inclusive/universal design,Steven Coxon,
 ,AI Approaches and Technologies,Robots,Steven Coxon,
 ,Learning Processes and Theories,Creativity,Steven Coxon,
 ,AI Approaches and Technologies,Pedagogical agents,Christos Mousas,
 ,Learning Environments and Platforms,Augmented/virtual/mixed reality,Christos Mousas,
 ,Research Methods,HCI,Christos Mousas,
 ,Disciplinary Areas,ELA education,Eliana Colunga,
 ,Learning Processes and Theories,Cognitive psychology / Cognitive science,Eliana Colunga,
 ,AI Approaches and Technologies,Modeling and simulation (including agent-based modeling),Eliana Colunga,
 ,Research Methods,HCI,Eliana Colunga,
 ,Analytics,Learning analytics,Ibrahim Dahlstrom-Hakki,
 ,Equity and Social Justice,Inclusive/universal design,Ibrahim Dahlstrom-Hakki,
 ,Capacity Building,Instructional design,Ibrahim Dahlstrom-Hakki,
 ,Learning Processes and Theories,Neuroscience,Ibrahim Dahlstrom-Hakki,
 ,Equity and Social Justice,Accessibility and technology,Ibrahim Dahlstrom-Hakki,
 ,Learning Processes and Theories,Cognitive psychology / Cognitive science,Ibrahim Dahlstrom-Hakki,
 ,Learning Environments and Platforms,Games and game making,Ibrahim Dahlstrom-Hakki,
 ,"Instruments, Assessment, and Measures",Cyber-enhanced/Computer-assisted assessments,Jodi Asbell-Clarke,
 ,Disciplinary Areas,Computational thinking,Jodi Asbell-Clarke,
 ,Learning Environments and Platforms,Games and game making,Jodi Asbell-Clarke,
 ,Equity and Social Justice,Inclusive/universal design,Jodi Asbell-Clarke,
 ,Other Domains,Neuroscience and analytics,Richard Gerkin,
 ,Learning Processes and Theories,Neuroscience,Richard Gerkin,
 ,Other Domains,Physiological sciences,Richard Gerkin,
 ,Learning Processes and Theories,Collaborative and/or participatory learning,Dustin Thoman,
 ,Learning Processes and Theories,Identity,Dustin Thoman,
 ,Equity and Social Justice,Social welfare development and responsibility,Dustin Thoman,
 ,Equity and Social Justice,Community partnerships,Dustin Thoman,
 ,Learning Processes and Theories,Self-regulation reflection and metacognition,Dustin Thoman,
 ,AI Approaches and Technologies,Adaptive/Personalized learning and intelligent tutors,Bruce McLaren,
 ,Learning Environments and Platforms,Games and game making,Bruce McLaren,
 ,Pedagogical Approaches and Processes,Inquiry learning (e.g. project/problem based learning),Janet Bowers,
 ,Disciplinary Areas,Math education,Janet Bowers,
 ,Capacity Building,Instructional Design,Janet Bowers,
 ,Capacity Building,Pedagogy,Janet Bowers,
 ,Capacity Building,Workforce development,Raffaella Borasi,
 ,Disciplinary Areas,Math education,Raffaella Borasi,
 ,Capacity Building,Educator professional learning,Raffaella Borasi,
 ,Disciplinary Areas,Computer science education,Tamar Fuhrmann,
 ,Equity and Social Justice,Cultural competence/responsiveness,Tamar Fuhrmann,
